song,artist,id
A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf
Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe
Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB
Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75
Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk
I Had Some Help,Post Malone Featuring Morgan Wallen,5IZXB5IKAD2qlvTPJYDCFB
Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q
Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9
Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",3tFed7YsjGnIfxeLEQwx3R
"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu
Too Sweet,Hozier,4IadxL6BUymXlh8RCJJu7T
That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",1QoyuMHNBe7lg3YW4Qtll4
APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY
Please Please Please,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP
Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3
I Am Not Okay,Jelly Roll,3SaS0Va6o6jYkWvadT86C6
Timeless,The Weeknd & Playboi Carti,1Es7AUAhQvapIcoh3qMKDL
Hot To Go!,Chappell Roan,4xdBrk0nFZaP54vvZj0yx7
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",3jHdKaLCkuNEkWcLVmQPCX
Lies Lies Lies,Morgan Wallen,7Fzl7QaTu47WyP9R5S5mh5
Tu Boda,Oscar Maydon & Fuerza Regida,1cOboCuWYI2osTOfolMRS6
Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10
Rah Tah Tah,"Tyler, The Creator",5RePVWy39tLpHH0WwXgBsK
Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j
Million Dollar Baby,Tommy Richman,5AJ9hqTS2wcFQCELCFRO7A
"I Love You, I'm Sorry",Gracie Abrams,51rfRCiUSvxXlCSCfIztBy
Like Him,"Tyler, The Creator Featuring Lola Young",6jbYpRPTEFl1HFKHk1IC0m
Whatchu Kno About Me,GloRilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK
Miles On It,Marshmello & Kane Brown,4pkb8SbRGeHAvdb87v9rpf
Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h
Cowgirls,Morgan Wallen Featuring ERNEST,7fveJ3pk1eSfxBdVkzdXZ0
Bed Chem,Sabrina Carpenter,1UHS8Rf6h5Ar3CDWRd3wjF
The Door,Teddy Swims,3dj4wgM3cPeuLwMNHDuBon
TGIF,GloRilla,2hKYtHbwYOSjvYQhVdUpdQ
Noid,"Tyler, The Creator",1tnZxHryc2wWtjUZC1LQw5
Pink Skies,Zach Bryan,4ZJ4vzLQekI0WntDbanNC7
Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold",2aYHxnMF2umAavtgBvmkY1
You Look Like You Love Me,Ella Langley Featuring Riley Green,0y5Ex8oQ8zCH5TQxHUy1Eo
Ain't No Love In Oklahoma,Luke Combs,54lwAukbN9gFGnDprkHjRD
Austin,Dasha,0Kx7b7kMbHrWvNp42NoM3w
I Can Do It With A Broken Heart,Taylor Swift,4q5YezDOIPcoLr8R81x9qy
Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU
High Road,Koe Wetzel & Jessie Murph,73KAidtqbDftZjy8AD0H04
Pink Pony Club,Chappell Roan,1k2pQc5i348DCHwbn5KTdc
Wind Up Missin' You,Tucker Wetmore,3EO58D1YpHnTvBy68gK8HE
Chill Bae,Lil Uzi Vert,4ppKM7xnkSAwSyKqD4QTY4
Kehlani,Jordan Adetunji,2hrycoFU1mZw6YPvMcn8yC
Pour Me A Drink,Post Malone Featuring Blake Shelton,0mNzElhEofvgMWAJoOA4q9
Dos Dias,Tito Double P & Peso Pluma,5lKFO0PrOC9jmOlPEdjHsL
Judge Judy,"Tyler, The Creator",6ie0uyyvOKTTuIFBMPiNIl
Dancing In The Flames,The Weeknd,7z7kvUQGwlC6iOl7vMuAr9
Light Year (Practice),Lil Uzi Vert,3NE6g9h77FZbQqCLzUpGRt
25,Rod Wave,0U60hgxzGit7juEuHul2y3
Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp
It's Ok I'm Ok,Tate McRae,24XihnoVPWXlKJ4BgXqjVM
Disease,Lady Gaga,19KlZwqlT3fguP2BeHF1Q1
Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",4BSR9I4ExlCJdXJo2GpBD5
Balloon,"Tyler, The Creator Featuring Doechii",35D1RA5uVFVhMc1qX80TaQ
Hey Jane,"Tyler, The Creator",3Umj02ZNl4d356pS1D38mn
Si Antes Te Hubiera Conocido,Karol G,6WatFBLVB0x077xWeoVc2k
Beautiful As You,Thomas Rhett,2ObBVRY8a2lnAkNG62u9eC
Shake Dat Ass (Twerk Song),BossMan Dlow,1vkpe29DP5EvAxYnWVq5C1
I Killed You,"Tyler, The Creator",3GdwjAsCsoE79ObhsJFyYb
I'm Gonna Love You,Cody Johnson & Carrie Underwood,6dayCflQl0ISXwZs6GBygC
Juno,Sabrina Carpenter,21B4gaTWnTkuSh77iWEXdS
Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z
Residuals,Chris Brown,4t4rGgiVX7woTmlnW9SHJ7
Diet Pepsi,Addison Rae,6MzofobZt2dm0Kf1hTThFz
La Patrulla,Peso Pluma & Neton Vega,2aYZaN5SmkRDLsrrV8GkBQ
I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc
Tomorrow,"Tyler, The Creator",3yw3m8wgRB4ptDyAvtdhq5
El Lokeron,Tito Double P,6X6m4xmdFcz31p1h7Qg68c
Close To You,Gracie Abrams,2bl81llf715VEEbAx03yvB
28,Zach Bryan,5iJKGpnFfvbjZJeAtwXfCj
Sao Paulo,The Weeknd & Anitta,0xGQTpN4ESETtl1Sp6rzd2
Nights Like This,The Kid LAROI,1XBYiRV30ykHw5f4wm6qEn
Mamushi,Megan Thee Stallion Featuring Yuki Chiba,5QgF5mYqbdF4R7veZjLQVl
South Of France,Future,2C11qhXSCvVzGogwOTP6aZ
Guy For That,Post Malone Featuring Luke Combs,6StwwqB84sJeLr7tZDTxEX
We Good,Lil Uzi Vert,0F60WLPs6Oz2slHomvLt9U
Think I'm In Love With You,Chris Stapleton,65M92JpTbAdHmTQm4jGaDa
No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5
Good Graces,Sabrina Carpenter,102YUQbYmwdBXS7jwamI90
Or What?,NLE Choppa & 41,3lUYO6zvXI88sNDpyKvIJ2
Apple,Charli xcx,19RybK6XDbAVpcdxSbZL1o
Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L
Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A
New Drop,Don Toliver,2c7z5oRcPBbqRaBY2mLWcf
I Luv Her,GloRilla & T-Pain,6jQeSeqn9AdsCe0NMrylxH
Prove It,21 Savage & Summer Walker,5wttBUDyaHAR5q9fYnN3YF
I Hope You Find Your Way Home,"Tyler, The Creator",0pvZCv4JOS5WBu7JITYef6
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz
2AM,BigXthaPlug,26TX1oZbaDeKxfTYDclSAo
Hollon,GloRilla,6XVkJ1fM7NkjODPYI7QbAM
Lonely Road,mgk & Jelly Roll,3Rfre3qkrhwdZZ7dyznwbN
Change Me,BigXthaPlug,4BjEz7HIK0Ja4tsyNj65HV
Him All Along,Gunna,2EKL77lwxvo615Ga7VjEUl
Brokey,Latto,1JF8LkQWZ8grXb2emqrNKn
